pickup_state,vendor,Number of Orders,Pickup Performance Percentage,Average Delivery TAT,Return Percentage
Andhra Pradesh,DELHIVERY,2,0.0,4 days 00:00:00,0.0
Andhra Pradesh,SMARTR,1,0.0,3 days 00:00:00,0.0
Assam,DELHIVERY,1,0.0,,0.0
Assam,SMARTR,2,100.0,4 days 00:00:00,0.0
Chandigarh,BLUEDART,22,72.72727272727273,2 days 10:17:08.571428571,0.0
Chandigarh,DELHIVERY,2,0.0,,0.0
Chandigarh,DTDC,4,0.0,,0.0
Chandigarh,SMARTR,2,50.0,8 days 00:00:00,50.0
Chhattisgarh,DELHIVERY,7,100.0,4 days 13:42:51.428571428,0.0
Chhattisgarh,EKART,1,100.0,8 days 00:00:00,0.0
Delhi,AMAZON,329,98.48024316109422,4 days 16:42:41.963190184,6.079027355623101
Delhi,BLUEDART,1064,89.47368421052632,4 days 12:47:31.625615763,17.293233082706767
Delhi,DELHIVERY,1209,95.616211745244,2 days 18:38:30.356536502,7.030603804797353
Delhi,DELHIVERY_B2B,3,100.0,7 days 00:00:00,0.0
Delhi,DTDC,1797,44.24040066777963,5 days 09:47:37.866184448,10.851419031719532
Delhi,EKART,2065,98.01452784503631,3 days 08:29:44.070796460,13.026634382566584
Delhi,SMARTR,3259,88.46271862534519,3 days 04:52:39.814937210,22.79840441853329
Gujarat,AMAZON,23,52.17391304347826,6 days 02:00:00,8.695652173913043
Gujarat,BLUEDART,12522,94.64143108129693,11 days 02:59:08.731379931,33.98818080178885
Gujarat,DELHIVERY,3426,93.57851722124927,5 days 23:57:50.036101083,33.39171044950379
Gujarat,DTDC,1557,73.0892742453436,11 days 02:20:55.880031570,27.874116891457934
Gujarat,EKART,1820,99.06593406593407,10 days 12:35:50.442477876,51.318681318681314
Gujarat,SMARTR,13185,84.86916951080774,4 days 18:51:57.633748181,32.931361395525215
Haryana,AMAZON,452,96.01769911504425,4 days 17:10:52.348993288,10.398230088495575
Haryana,BLUEDART,3493,98.16776409962783,4 days 01:47:56.874095513,10.535356427139995
Haryana,BLUEDART_B2B,38,89.47368421052632,4 days 04:14:07.058823529,0.0
Haryana,DELHIVERY,2004,95.95808383233533,3 days 15:24:34.216380182,3.842315369261477
Haryana,DELHIVERY_B2B,3,33.33333333333333,9 days 00:00:00,0.0
Haryana,DTDC,515,91.2621359223301,3 days 23:48:00,4.660194174757281
Haryana,EKART,89,68.53932584269663,9 days 20:03:17.260273972,7.865168539325842
Haryana,SMARTR,11460,96.89354275741711,2 days 21:34:47.523178807,8.7521815008726
Haryana,SMARTR_B2B,34,88.23529411764706,5 days 10:03:52.258064516,0.0
Haryana,XPRESSBEES,3,100.0,4 days 00:00:00,0.0
Himachal Pradesh,DELHIVERY,1,100.0,8 days 00:00:00,0.0
Himachal Pradesh,SMARTR,1,0.0,,0.0
Karnataka,AMAZON,199,41.20603015075377,3 days 20:11:42.439024390,2.512562814070352
Karnataka,BLOWHORN,2,0.0,,0.0
Karnataka,BLUEDART,708,82.90960451977402,2 days 21:21:20.133555926,1.2711864406779663
Karnataka,BLUEDART_B2B,132,18.181818181818183,2 days 19:23:04.615384615,0.0
Karnataka,DELHIVERY,821,69.30572472594397,3 days 15:24:08.556876061,0.9744214372716199
Karnataka,DELHIVERY_B2B,10,0.0,,0.0
Karnataka,DTDC,129,63.565891472868216,2 days 10:38:10.909090909,0.7751937984496124
Karnataka,EKART,48,87.5,3 days 20:39:04.186046511,2.083333333333333
Karnataka,SMARTR,2349,83.26947637292464,2 days 16:14:32.293942403,4.001702852277565
Karnataka,SMARTR_B2B,34,82.35294117647058,3 days 06:51:25.714285714,0.0
Karnataka,XPRESSBEES,8,0.0,,0.0
Kerala,AMAZON,2,100.0,4 days 12:00:00,0.0
Kerala,BLUEDART,6,83.33333333333334,5 days 04:00:00,0.0
Kerala,DELHIVERY,11,100.0,4 days 17:27:16.363636363,0.0
Kerala,SMARTR,8,50.0,2 days 08:00:00,0.0
Madhya Pradesh,DELHIVERY,43,95.34883720930233,7 days 04:05:51.219512195,46.51162790697674
Madhya Pradesh,EKART,50,96.0,10 days 13:42:51.428571428,44.0
Madhya Pradesh,SMARTR,3,66.66666666666666,4 days 00:00:00,0.0
Maharashtra,AMAZON,370,96.75675675675676,4 days 01:03:49.362880886,10.0
Maharashtra,BLUEDART,10701,92.75768619755162,7 days 13:49:34.363898223,6.261097093729558
Maharashtra,BLUEDART_B2B,21,90.47619047619048,4 days 01:15:47.368421052,0.0
Maharashtra,DELHIVERY,4535,90.58434399117972,3 days 05:27:20.827460786,4.9393605292172
Maharashtra,DTDC,642,85.202492211838,7 days 17:57:36.953642384,12.92834890965732
Maharashtra,EKART,874,91.30434782608695,6 days 12:25:48.578491965,10.183066361556065
Maharashtra,SMARTR,3513,83.48989467691432,3 days 01:13:16.686390532,10.36151437517791
Maharashtra,SMARTR_B2B,42,92.85714285714286,2 days 14:24:00,0.0
Orissa,BLUEDART,1,100.0,4 days 00:00:00,0.0
Orissa,DELHIVERY,1,0.0,5 days 00:00:00,0.0
Orissa,SMARTR,3,33.33333333333333,5 days 12:00:00,33.33333333333333
Punjab,BLUEDART,4,50.0,6 days 12:00:00,25.0
Punjab,DELHIVERY,58,93.10344827586206,4 days 22:17:08.571428571,3.4482758620689653
Punjab,DTDC,135,68.88888888888889,10 days 09:41:32.307692307,27.40740740740741
Punjab,SMARTR,27,44.44444444444444,5 days 01:12:00,22.22222222222222
Rajasthan,AMAZON,30,96.66666666666667,11 days 16:33:06.206896551,46.666666666666664
Rajasthan,BLUEDART,1186,80.43844856661046,5 days 01:33:20.691443388,21.838111298482293
Rajasthan,DELHIVERY,2484,88.24476650563608,5 days 16:45:07.487520798,14.774557165861513
Rajasthan,DTDC,451,80.26607538802661,12 days 15:26:26.013986014,47.22838137472284
Rajasthan,EKART,890,95.6179775280899,8 days 17:45:44.055944056,45.61797752808989
Rajasthan,SMARTR,96,63.541666666666664,6 days 10:35:50.649350649,11.458333333333332
Tamil Nadu,AMAZON,28,89.28571428571429,4 days 11:08:34.285714285,10.714285714285714
Tamil Nadu,BLUEDART,374,86.36363636363636,3 days 23:36:23.606557377,7.754010695187167
Tamil Nadu,DELHIVERY,428,95.7943925233645,4 days 19:51:29.361702127,25.934579439252335
Tamil Nadu,DTDC,143,62.23776223776224,8 days 23:47:15.398230088,16.783216783216783
Tamil Nadu,EKART,341,95.01466275659824,7 days 16:48:53.333333333,34.01759530791789
Tamil Nadu,SMARTR,3658,91.30672498633133,7 days 07:57:15.428571428,39.639147074904315
Telangana,AMAZON,3,0.0,,0.0
Telangana,BLUEDART,76,88.1578947368421,2 days 10:11:30.410958904,1.3157894736842104
Telangana,DELHIVERY,290,90.3448275862069,3 days 21:14:14.676258992,2.413793103448276
Telangana,DTDC,35,74.28571428571429,2 days 17:46:40,2.857142857142857
Telangana,EKART,35,91.42857142857143,5 days 09:45:00,11.428571428571429
Telangana,SMARTR,548,91.97080291970804,2 days 12:27:35.172413793,5.109489051094891
Uttar Pradesh,AMAZON,7,57.14285714285714,4 days 12:00:00,0.0
Uttar Pradesh,BLUEDART,177,40.67796610169492,2 days 16:13:48.776978417,0.0
Uttar Pradesh,DELHIVERY,330,88.7878787878788,4 days 10:54:32.727272727,2.4242424242424243
Uttar Pradesh,DTDC,601,42.09650582362729,4 days 10:29:20,4.658901830282862
Uttar Pradesh,EKART,43,97.67441860465115,12 days 04:00:00,20.930232558139537
Uttar Pradesh,SMARTR,856,69.27570093457945,3 days 02:04:40.975609756,7.476635514018691
Uttarakhand,AMAZON,1,100.0,2 days 00:00:00,0.0
Uttarakhand,DELHIVERY,1,100.0,10 days 00:00:00,0.0
Uttarakhand,DTDC,69,86.95652173913044,4 days 00:00:00,4.3478260869565215
Uttarakhand,SMARTR,2,100.0,2 days 00:00:00,0.0
West Bengal,AMAZON,9,44.44444444444444,10 days 04:48:00,22.22222222222222
West Bengal,BLUEDART,323,72.13622291021672,2 days 13:32:54.193548387,7.120743034055728
West Bengal,DELHIVERY,391,84.65473145780051,3 days 20:18:47.710843373,1.0230179028132993
West Bengal,DTDC,6,33.33333333333333,12 days 00:00:00,16.666666666666664
West Bengal,EKART,27,40.74074074074074,4 days 16:00:00,7.4074074074074066
West Bengal,SMARTR,175,92.57142857142857,1 days 23:07:19.024390243,8.0
